"CO_UF";"CO_SIGLA";"NO_DESCRICAO"
"27";"AL";"ALAGOAS"
"13";"AM";"AMAZONAS"
"29";"BA";"BAHIA"
"23";"CE";"CEARA"
"50";"MS";"MATO GROSSO DO SUL"
"32";"ES";"ESPIRITO SANTO"
"52";"GO";"GOIAS"
"21";"MA";"MARANHAO"
"51";"MT";"MATO GROSSO"
"31";"MG";"MINAS GERAIS"
"15";"PA";"PARA"
"25";"PB";"PARAIBA"
"41";"PR";"PARANA"
"26";"PE";"PERNAMBUCO"
"22";"PI";"PIAUI"
"33";"RJ";"RIO DE JANEIRO"
"24";"RN";"RIO GRANDE DO NORTE"
"43";"RS";"RIO GRANDE DO SUL"
"42";"SC";"SANTA CATARINA"
"35";"SP";"SAO PAULO"
"28";"SE";"SERGIPE"
"53";"DF";"DISTRITO FEDERAL"
"12";"AC";"ACRE"
"16";"AP";"AMAPA"
"11";"RO";"RONDONIA"
"14";"RR";"RORAIMA"
"17";"TO";"TOCANTINS"
